Date,Ticker,prediction,actual_target,actual_return,portfolio_side
2025-10-16,AAPL,-0.001897275447845459,1.1464409,0.019559516,LONG
2025-10-16,TSLA,-0.07531756907701492,1.5777448,0.024629733,SHORT
2025-10-16,XOM,-0.1200304850935936,0.71275455,0.014461296,SHORT
2025-10-17,GOOGL,-0.00444483757019043,-0.023599895,0.012830665,LONG
2025-10-17,AAPL,-0.006999760866165161,2.1259923,0.03943866,LONG
2025-10-17,TSLA,-0.0762067586183548,0.43307984,0.01848352,SHORT
2025-10-17,XOM,-0.11426199972629547,-0.7290598,0.004098369,SHORT
2025-10-20,GOOGL,-0.009699225425720215,-1.3243918,-0.023738064,LONG
2025-10-20,AAPL,-0.012203022837638855,0.47676396,0.0020210352,LONG
2025-10-20,META,-0.0781845822930336,0.4405003,0.0015024127,SHORT
2025-10-20,XOM,-0.10908715426921844,0.34165227,8.874495e-05,SHORT
2025-10-21,GOOGL,-0.011133164167404175,0.77883136,0.0049110134,LONG
2025-10-21,AAPL,-0.01529569923877716,-1.1662331,-0.016440144,LONG
2025-10-21,META,-0.08049900829792023,0.34883097,0.00019085799,SHORT
2025-10-21,XOM,-0.10777205228805542,1.9479645,0.0177447,SHORT
2025-10-22,NVDA,-0.011296957731246948,0.3008804,0.010428291,LONG
2025-10-22,GOOGL,-0.013005807995796204,-0.3809407,0.005522621,LONG
2025-10-22,META,-0.0811392292380333,-1.0366944,0.00080450444,SHORT
2025-10-22,XOM,-0.10591549426317215,0.39025548,0.01107134,SHORT
2025-10-23,NVDA,-0.01180681586265564,0.6863914,0.022507569,LONG
2025-10-23,GOOGL,-0.016391783952713013,0.9294867,0.027027119,LONG
2025-10-23,META,-0.08192013204097748,-0.20473343,0.00594006,SHORT
2025-10-23,XOM,-0.10339604318141937,-0.7978548,-0.005087063,SHORT
2025-10-24,NVDA,-0.014740705490112305,0.5730142,0.02807911,LONG
2025-10-24,GOOGL,-0.017149120569229126,1.2474725,0.035972476,LONG
2025-10-24,META,-0.08399268984794617,-0.38432172,0.016875148,SHORT
2025-10-24,XOM,-0.10421101003885269,-1.4189651,0.0047664377,SHORT
2025-10-27,GOOGL,-0.018785804510116577,-1.0306295,-0.006684808,LONG
2025-10-27,NVDA,-0.019024387001991272,2.1058576,0.049819905,LONG
2025-10-27,META,-0.08528202772140503,-0.6137239,0.00082586746,SHORT
2025-10-27,XOM,-0.1057155430316925,-1.0952421,-0.0078488225,SHORT
2025-10-28,GOOGL,-0.02005094289779663,1.1014932,0.026545113,LONG
2025-10-28,NVDA,-0.021870121359825134,1.3432448,0.029896036,LONG
2025-10-28,META,-0.08676767349243164,-0.7915189,0.00030603464,SHORT
2025-10-28,XOM,-0.10891425609588623,0.076991774,0.012344479,SHORT
2025-10-29,GOOGL,-0.020960092544555664,1.2670586,0.025166785,LONG
2025-10-29,NVDA,-0.024422019720077515,0.09397836,-0.020044483,LONG
2025-10-29,META,-0.08285649120807648,-2.3269224,-0.11334756,SHORT
2025-10-29,XOM,-0.11124537140130997,0.2219136,-0.015113776,SHORT
2025-10-30,GOOGL,-0.023116081953048706,-0.22079979,-0.0010303694,LONG
2025-10-30,NVDA,-0.028423577547073364,-0.24716055,-0.0019714555,LONG
2025-10-30,TSLA,-0.07459547370672226,0.8556895,0.03740057,SHORT
2025-10-30,XOM,-0.11543094366788864,-0.2725339,-0.0028772901,SHORT
2025-10-31,GOOGL,-0.02722346782684326,0.23966613,0.008997475,LONG
2025-10-31,NVDA,-0.03247237205505371,0.8965386,0.021679975,LONG
2025-10-31,TSLA,-0.07892724126577377,1.1134179,0.02586735,SHORT
2025-10-31,XOM,-0.11758191138505936,-0.49808496,-0.0052465824,SHORT
2025-11-03,GOOGL,-0.03153762221336365,-0.22771311,-0.021782042,LONG
2025-11-03,AAPL,-0.03478313982486725,1.1376132,0.0036797358,LONG
2025-11-03,AVGO,-0.08467230200767517,-0.6289606,-0.02926485,SHORT
2025-11-03,XOM,-0.11745604872703552,1.1194135,0.0033403335,SHORT
2025-11-04,AAPL,-0.03236788511276245,-0.39947137,0.00037034496,LONG
2025-11-04,GOOGL,-0.03586722910404205,0.95571935,0.024392776,LONG
2025-11-04,AVGO,-0.08979347348213196,0.7081039,0.020003486,SHORT
2025-11-04,XOM,-0.11785542964935303,-0.647711,-0.0040300093,SHORT
2025-11-05,AAPL,-0.033124566078186035,0.7599906,-0.0013698257,LONG
2025-11-05,META,-0.03632912039756775,-0.72967786,-0.026747396,LONG
2025-11-05,AVGO,-0.09519578516483307,0.28606114,-0.009443554,SHORT
2025-11-05,XOM,-0.11624857038259506,1.2638146,0.007213178,SHORT
2025-11-06,AAPL,-0.03042645752429962,-0.02796328,-0.004818963,LONG
2025-11-06,META,-0.03685078024864197,0.52525026,0.0044753985,LONG
2025-11-06,TSLA,-0.09619070589542389,-1.9289206,-0.03675633,SHORT
2025-11-06,XOM,-0.11483784765005112,1.6728264,0.023755452,SHORT
2025-11-07,AAPL,-0.02957361936569214,-1.107309,0.0045486246,LONG
2025-11-07,NVDA,-0.0363757461309433,2.042673,0.057932492,LONG
2025-11-07,TSLA,-0.1043626070022583,0.7824925,0.036575764,SHORT
2025-11-07,XOM,-0.1110384464263916,-0.8723226,0.008531022,SHORT
2025-11-10,AAPL,-0.027932345867156982,1.5889384,0.021601267,LONG
2025-11-10,NVDA,-0.038353025913238525,-1.79352,-0.029590596,LONG
2025-11-10,XOM,-0.10575097799301147,1.0335498,0.013195731,SHORT
2025-11-10,TSLA,-0.1099138855934143,-0.6708984,-0.0126002645,SHORT
2025-11-11,AAPL,-0.026957854628562927,0.053487815,-0.00646677,LONG
2025-11-11,NVDA,-0.03474453091621399,0.7186131,0.0033133319,LONG
2025-11-11,XOM,-0.10385341942310333,-0.4492294,-0.013858799,SHORT
2025-11-11,TSLA,-0.10786277800798416,-0.9020877,-0.020517696,SHORT
2025-11-12,AAPL,-0.025896906852722168,1.0082356,-0.0019014764,LONG
2025-11-12,NVDA,-0.03024396300315857,-0.50520855,-0.03581021,LONG
2025-11-12,XOM,-0.10411298274993896,1.3462683,0.00567215,SHORT
2025-11-12,TSLA,-0.10639576613903046,-1.8724028,-0.06644221,SHORT
2025-11-13,NVDA,-0.020492076873779297,1.3385701,0.017713904,LONG
2025-11-13,AAPL,-0.0231478214263916,-0.29718047,-0.0019784193,LONG
2025-11-13,XOM,-0.1052173301577568,0.9463908,0.012992573,SHORT
2025-11-13,AMZN,-0.10691975057125092,-1.1432763,-0.012164321,SHORT
2025-11-14,NVDA,-0.019323498010635376,-0.9392477,-0.01877273,LONG
2025-11-14,AAPL,-0.022333234548568726,-0.900107,-0.018171106,LONG
2025-11-14,AMZN,-0.10332086682319641,-0.22244857,-0.007754942,SHORT
2025-11-14,XOM,-0.10425865650177002,-0.59598684,-0.01349653,SHORT
2025-11-17,NVDA,-0.011510968208312988,-0.931707,-0.02808147,LONG
2025-11-17,AAPL,-0.01787334680557251,0.7537422,-7.493988e-05,LONG
2025-11-17,AMZN,-0.09373129159212112,-1.9087429,-0.044316538,SHORT
2025-11-17,XOM,-0.10650043189525604,1.4486296,0.011471766,SHORT
2025-11-18,NVDA,-0.005184441804885864,1.0258361,0.028451655,LONG
2025-11-18,AAPL,-0.01454836130142212,-0.21500844,0.004188023,LONG
2025-11-18,TSLA,-0.08632338047027588,-0.07996724,0.006828636,SHORT
2025-11-18,XOM,-0.10573072731494904,-1.1509787,-0.014114059,SHORT
2025-11-19,NVDA,-0.008043736219406128,-1.6552788,-0.031524718,LONG
2025-11-19,AAPL,-0.014983326196670532,0.7360186,-0.008601475,LONG
2025-11-19,TSLA,-0.08558861911296844,-0.6286828,-0.021683654,SHORT
2025-11-19,XOM,-0.10470181703567505,1.339946,-0.0028121585,SHORT
2025-11-20,NVDA,-0.0019770264625549316,-0.7242522,-0.009743078,LONG
2025-11-20,AAPL,-0.0117264986038208,0.9915159,0.019680612,LONG
2025-11-20,TSLA,-0.07637189328670502,-0.76692945,-0.01047495,SHORT
2025-11-20,XOM,-0.10309513658285141,-0.12620917,0.00051275553,SHORT
2025-11-21,NVDA,-0.0006042122840881348,-0.33703414,0.020516524,LONG
2025-11-21,AAPL,-0.01584741473197937,-0.4498468,0.016317567,LONG
2025-11-21,TSLA,-0.07713520526885986,0.94528276,0.068245165,SHORT
2025-11-21,XOM,-0.09978459775447845,-1.1429628,-0.009480651,SHORT
2025-11-24,NVDA,-0.0008982717990875244,-1.9196725,-0.02591076,LONG
2025-11-24,AAPL,-0.019406646490097046,-0.23251165,0.0038053396,LONG
2025-11-24,TSLA,-0.08202874660491943,-0.22840744,0.0038776272,SHORT
2025-11-24,XOM,-0.09815150499343872,-1.1633476,-0.012589549,SHORT
2025-11-25,NVDA,0.004831105470657349,0.40821964,0.013721772,LONG
2025-11-25,AAPL,-0.021072685718536377,-0.48064935,0.0020941065,LONG
2025-11-25,TSLA,-0.08361493796110153,0.6679702,0.017119678,SHORT
2025-11-25,XOM,-0.09846243262290955,-0.4671592,0.0022705765,SHORT
2025-11-26,NVDA,0.003932878375053406,-2.3525784,-0.018085012,LONG
2025-11-26,AAPL,-0.02237054705619812,-0.3803695,0.0046838666,LONG
2025-11-26,TSLA,-0.08692203462123871,-0.05711155,0.008415835,SHORT
2025-11-26,XOM,-0.09911591559648514,0.08183973,0.010020008,SHORT
2025-11-28,NVDA,0.00325658917427063,1.2543701,0.016497284,LONG
2025-11-28,AAPL,-0.023914366960525513,1.1819831,0.015241063,LONG
2025-11-28,TSLA,-0.09087829291820526,0.29973173,-6.973703e-05,SHORT
2025-11-28,XOM,-0.09976956993341446,0.6566889,0.006124983,SHORT
2025-12-01,NVDA,0.006787046790122986,0.8894923,0.008559255,LONG
2025-12-01,AAPL,-0.023305371403694153,1.1791995,0.010914952,LONG
2025-12-01,TSLA,-0.08662845194339752,-0.42046455,-0.0020923987,SHORT
2025-12-01,XOM,-0.10438346862792969,-1.4812125,-0.01071766,SHORT
2025-12-02,NVDA,0.0023660659790039062,-0.64625716,-0.010305267,LONG
2025-12-02,AAPL,-0.026373133063316345,-0.4825378,-0.007128104,LONG
2025-12-02,TSLA,-0.08477775752544403,1.98564,0.040769733,SHORT
2025-12-02,XOM,-0.10798875987529755,0.9655729,0.020974156,SHORT
2025-12-03,NVDA,-0.0008618831634521484,0.99074703,0.021160536,LONG
2025-12-03,AAPL,-0.028396636247634888,-1.1175904,-0.012141397,LONG
2025-12-03,AVGO,-0.09500625729560852,-0.27905384,0.0011035836,SHORT
2025-12-03,XOM,-0.10703765600919724,-0.7036313,-0.005602766,SHORT
2025-12-04,NVDA,-0.00432954728603363,-0.8822308,-0.005289603,LONG
2025-12-04,AAPL,-0.029011651873588562,-1.0283504,-0.0068401755,LONG
2025-12-04,AVGO,-0.10278843343257904,1.8940406,0.02417129,SHORT
2025-12-04,XOM,-0.1072012186050415,-0.86643386,-0.0051219705,SHORT
2025-12-05,NVDA,-0.008151590824127197,1.0397264,0.017213998,LONG
2025-12-05,AAPL,-0.02836427092552185,-0.04073233,-0.0031924427,LONG
2025-12-05,XOM,-0.11066650599241257,-0.12612796,-0.0048052957,SHORT
2025-12-05,AVGO,-0.11266151815652847,1.6017627,0.027829085,SHORT
2025-12-08,NVDA,-0.009630978107452393,-0.14032401,-0.0031259127,LONG
2025-12-08,AAPL,-0.026232600212097168,-0.11032337,-0.0025550642,LONG
2025-12-08,XOM,-0.11621863394975662,1.052574,0.0195724,SHORT
2025-12-08,AVGO,-0.1190599799156189,0.7039803,0.012939404,SHORT
2025-12-09,NVDA,-0.015288978815078735,-0.75044155,-0.006433412,LONG
2025-12-09,AAPL,-0.024590730667114258,-0.024222521,0.0057724803,LONG
2025-12-09,AVGO,-0.11357936263084412,0.6105523,0.016441429,SHORT
2025-12-09,XOM,-0.11773377656936646,0.28138986,0.010909046,SHORT
2025-12-10,NVDA,-0.019236460328102112,-0.83970207,-0.015507791,LONG
2025-12-10,AAPL,-0.022993028163909912,0.074719205,-0.0026903718,LONG
2025-12-10,AVGO,-0.10626207292079926,-0.87351525,-0.015981749,SHORT
2025-12-10,XOM,-0.11666903644800186,0.2666559,0.0,SHORT
2025-12-11,NVDA,-0.020575344562530518,-0.41166088,-0.032664523,LONG
2025-12-11,AAPL,-0.020927727222442627,0.48463094,0.0008993199,LONG
2025-12-11,TSLA,-0.10300891101360321,1.1818616,0.027008832,SHORT
2025-12-11,XOM,-0.11484566330909729,0.29977417,-0.0060230945,SHORT
2025-12-12,AAPL,-0.015927940607070923,-0.41428873,-0.014985057,LONG
2025-12-12,NVDA,-0.01656612753868103,0.54357904,0.0072562774,LONG
2025-12-12,TSLA,-0.10548275709152222,1.7652935,0.035624035,SHORT
2025-12-12,XOM,-0.11547936499118805,-0.15312764,-0.008920993,SHORT
2025-12-15,AAPL,-0.01007707417011261,0.0029789126,0.0018241386,LONG
2025-12-15,NVDA,-0.013264089822769165,0.4110384,0.008111748,LONG
2025-12-15,TSLA,-0.10712996125221252,1.8739878,0.030653695,SHORT
2025-12-15,XOM,-0.1164519190788269,-1.8128338,-0.026154922,SHORT
2025-12-16,AAPL,-0.005859285593032837,0.2918302,-0.010086926,LONG
2025-12-16,GOOGL,-0.012146025896072388,-0.67627275,-0.03212968,LONG
2025-12-16,TSLA,-0.10805477946996689,-1.2931147,-0.046174563,SHORT
2025-12-16,XOM,-0.1212741881608963,1.7803617,0.023805473,SHORT
2025-12-17,AAPL,0.0009062439203262329,-0.8956326,0.0012874469,LONG
2025-12-17,GOOGL,-0.005547016859054565,0.4145783,0.019344822,LONG
2025-12-17,TSLA,-0.1153596043586731,1.5125829,0.03447756,SHORT
2025-12-17,XOM,-0.12142260372638702,-1.5267032,-0.0074099926,SHORT
2025-12-18,AAPL,0.0034305155277252197,-0.2999347,0.005437604,LONG
2025-12-18,GOOGL,-0.002786487340927124,0.35849422,0.015539287,LONG
